Plot,Genotype,Random_field_no
76,LD-07-3395bf,23
77,PI39528B,9
78,PI594451,2
79,HM17-12161,19
80,PI437505,15
81,PI605765B,11
82,PI507480,1
83,PI567408,132
84,PI154189,140
85,PI407708A,148
86,PI154189,14
87,PI603426G,4
88,PI605765B,11
89,PI594451,2
90,SA1811280,25
91,PI378684A,13
92,SA1811280,20
93,PI605765B,133
94,PI437505,141
95,CR16-0042,149
96,PI561389B,10
97,PI567780B,12
98,LG15-1913-86,22
99,PI561389B,10
100,E19517GT,24
101,PI603426G,4
102,SA1730464,126
103,PI506942,134
104,PI594451,142
105,SA1811280,150
106,SA1730464,18
107,PI378684A,13
108,PI507480,1
109,PI407708A,7
110,LD-07-3395bf,23
111,PI84631,6
112,CR164386,127
113,PI603426G,135
114,E19517GT,143
115,PI506942,16
116,PI84631,6
117,PI6548362,8
118,PI567408,17
119,PI154189,14
120,PI39528B,9
121,HM17-12161,128
122,PI6548362,136
123,PI84631,144
124,PI594301,3
125,PI567408,17
126,SA1811280,25
127,PI594301,3
128,HM17-12161,19
129,LG15-1913-86,22
130,PI6548362,129
131,LG15-1913-86,137
132,PI567780B,145
133,CR16-0042,20
134,PI84987,5
135,PI437505,15
136,PI6548362,8
137,CR164386,21
138,PI506942,16
139,PI594301,130
140,PI507480,138
141,PI561389B,146
142,PI407708A,7
143,E19517GT,24
144,CR164386,21
145,PI6548362,5
146,PI567780B,12
147,SA1730464,18
148,LD-07-3395bf,131
149,PI39528B,139
150,PI378684A,147
